"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17296-14645","WR","Dontrelle","","Inman","8.59230745755709","13","5500","OAK@SD","SD","OAK","","","",""
"17296-22848","QB","Austin","","Davis","7.393333435058594","3","5500","NE@DEN","DEN","NE","","","",""
"17296-6774","WR","Pierre","","Garcon","9.792307927058292","13","5400","CAR@WAS","WAS","CAR","","","",""
"17296-6828","RB","Tim","","Hightower","6.469230651855469","13","5400","NO@ARI","NO","ARI","","","",""
"17296-6857","RB","Justin","","Forsett","4.700000127156575","6","5400","NE@DEN","DEN","NE","","","",""
"17296-14704","WR","Chris","","Hogan","8.34999974568685","12","5400","NE@DEN","NE","DEN","","","",""
"17296-22018","WR","Mohamed","","Sanu","7.924999872843425","12","5300","SF@ATL","ATL","SF","","","",""
"17296-7965","TE","Antonio","","Gates","8.63000030517578","10","5300","OAK@SD","SD","OAK","","","",""
"17296-39580","RB","Devontae","","Booker","6.992307809682993","13","5200","NE@DEN","DEN","NE","","","",""
"17296-14198","QB","Christian","","Ponder","0","0","5200","SF@ATL","SF","ATL","","","",""
"17296-40845","TE","Hunter","","Henry","8.027273004705256","11","5200","OAK@SD","SD","OAK","","","",""
"17296-14339","RB","Dion","","Lewis","5.599999904632568","4","5100","NE@DEN","NE","DEN","","","",""
"17296-24891","RB","Chris","","Thompson","7.1923076923076925","13","5100","CAR@WAS","WAS","CAR","","","",""
"17296-10647","K","Matt","","Bryant","10.538461538461538","13","5100","SF@ATL","ATL","SF","","","",""
"17296-21971","TE","Coby","","Fleener","7.769230769230769","13","5100","NO@ARI","NO","ARI","","","",""
"17296-28163","QB","Connor","","Cook","0","0","5000","OAK@SD","OAK","SD","","","",""
"17296-6687","QB","Mark","","Sanchez","0.11999999731779099","1","5000","TB@DAL","DAL","TB","","","",""
"17296-14952","K","Dan","","Bailey","8.538461538461538","13","5000","TB@DAL","DAL","TB","","","",""
"17296-32366","QB","Jameill","","Showers","0","0","5000","TB@DAL","DAL","TB","","","",""
"17296-27801","QB","Nate","","Sudfeld","0","0","5000","CAR@WAS","WAS","CAR","","","",""
"17296-6373","QB","Derek","","Anderson","5.380000114440918","4","5000","CAR@WAS","CAR","WAS","","","",""
"17296-45797","QB","Garrett","","Grayson","0","1","5000","NO@ARI","NO","ARI","","","",""
"17296-7919","QB","Kellen","","Clemens","-0.10000000149011612","1","5000","OAK@SD","SD","OAK","","","",""
"17296-11615","QB","Joe","","Webb","0.1600000023841858","5","5000","CAR@WAS","CAR","WAS","","","",""
"17296-34154","WR","J.J.","","Nelson","7.236363497647372","11","5000","NO@ARI","ARI","NO","","","",""
"17296-8051","QB","Luke","","McCown","6.199999809265137","2","5000","NO@ARI","NO","ARI","","","",""
"17296-33702","QB","Ryan","","Griffin","0","0","5000","TB@DAL","TB","DAL","","","",""
"17296-70127","QB","Griffin","","Neal","0","0","5000","NO@ARI","NO","ARI","","","",""
"17296-6641","TE","Jason","","Witten","7.530769348144531","13","5000","TB@DAL","DAL","TB","","","",""
