"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17029-6498","QB","Tom","","Brady","24.316665649414062","6","9100","NE@NYJ","NE","NYJ","","","",""
"17029-11460","TE","Rob","","Gronkowski","12.071428571428571","7","8500","NE@NYJ","NE","NYJ","","","",""
"17029-45859","QB","Derek","","Carr","19.61999969482422","10","7900","CAR@OAK","OAK","CAR","","","",""
"17029-32384","WR","Mike","","Evans","17.410000610351563","10","7900","SEA@TB","TB","SEA","","","",""
"17029-31001","WR","Amari","","Cooper","14.3","10","7800","CAR@OAK","OAK","CAR","","","",""
"17029-14185","QB","Cam","","Newton","19.693333943684895","9","7800","CAR@OAK","CAR","OAK","","","",""
"17029-22015","QB","Russell","","Wilson","17.086000061035158","10","7500","SEA@TB","SEA","TB","","","",""
"17029-24849","QB","Jameis","","Winston","18.9","10","7200","SEA@TB","TB","SEA","","","",""
"17029-6759","WR","Brandon","","Marshall","9.359999847412109","10","7100","NE@NYJ","NYJ","NE","","","",""
"17029-6914","TE","Greg","","Olsen","12.15","10","7000","CAR@OAK","CAR","OAK","","","",""
"17029-24929","WR","Kelvin","","Benjamin","11.330000305175782","10","7000","CAR@OAK","CAR","OAK","","","",""
"17029-28095","RB","Thomas","","Rawls","6.633333206176758","3","7000","SEA@TB","SEA","TB","","","",""
"17029-6733","RB","Jonathan","","Stewart","10.071428571428571","7","6900","CAR@OAK","CAR","OAK","","","",""
"17029-11512","TE","Jimmy","","Graham","10.84000015258789","10","6900","SEA@TB","SEA","TB","","","",""
"17029-11779","RB","LeGarrette","","Blount","15.63000030517578","10","6800","NE@NYJ","NE","NYJ","","","",""
"17029-14626","WR","Doug","","Baldwin","13.45","10","6800","SEA@TB","SEA","TB","","","",""
"17029-7659","QB","Ryan","","Fitzpatrick","12.168888515896267","9","6800","NE@NYJ","NYJ","NE","","","",""
"17029-6899","RB","Matt","","Forte","14.860000610351562","10","6800","NE@NYJ","NYJ","NE","","","",""
"17029-9392","WR","Michael","","Crabtree","12.40999984741211","10","6700","CAR@OAK","OAK","CAR","","","",""
"17029-34331","RB","Latavius","","Murray","14.787500381469727","8","6600","CAR@OAK","OAK","CAR","","","",""
"17029-7859","WR","Julian","","Edelman","9.45","10","6400","NE@NYJ","NE","NYJ","","","",""
"17029-21970","RB","Doug","","Martin","9.375","4","6400","SEA@TB","TB","SEA","","","",""
"17029-32514","QB","Trevone","","Boykin","2.450000047683716","2","6000","SEA@TB","SEA","TB","","","",""
"17029-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","NE@NYJ","NE","NYJ","IR","Thumb","",""
"17029-31798","QB","Bryce","","Petty","5.139999866485596","2","6000","NE@NYJ","NYJ","NE","","","",""
