"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17107-6504","QB","Drew","","Brees","23.94363680752841","11","9300","DET@NO","NO","DET","","","",""
"17107-6616","QB","Matt","","Ryan","22.458181207830254","11","8600","KC@ATL","ATL","KC","","","",""
"17107-6894","QB","Aaron","","Rodgers","24.223635586825285","11","8500","HOU@GB","GB","HOU","Q","Hamstring","",""
"17107-6498","QB","Tom","","Brady","23.562857491629465","7","8500","LA@NE","NE","LA","Q","Knee","",""
"17107-14190","WR","Julio","","Jones","16.045454545454547","11","8300","KC@ATL","ATL","KC","","","",""
"17107-6654","QB","Matthew","","Stafford","18.35636346990412","11","8300","DET@NO","DET","NO","","","",""
"17107-14231","QB","Colin","","Kaepernick","22.316665649414062","6","7800","SF@CHI","SF","CHI","","","",""
"17107-46882","RB","Jay","","Ajayi","14.139999389648438","10","7500","MIA@BAL","MIA","BAL","","","",""
"17107-42142","RB","Jordan","","Howard","12.780000305175781","10","7400","SF@CHI","CHI","SF","","","",""
"17107-31459","RB","Spencer","","Ware","13.169999694824218","10","7400","KC@ATL","KC","ATL","","","",""
"17107-6893","WR","Jordy","","Nelson","14.354544899680398","11","7400","HOU@GB","GB","HOU","","","",""
"17107-24920","RB","Devonta","","Freeman","14.39090936834162","11","7400","KC@ATL","ATL","KC","","","",""
"17107-14187","WR","A.J.","","Green","15.339999389648437","10","7400","PHI@CIN","CIN","PHI","O","Hamstring","",""
"17107-22037","RB","Lamar","","Miller","12.60909063165838","11","7300","HOU@GB","HOU","GB","","","",""
"17107-6714","QB","Joe","","Flacco","15.352727716619318","11","7300","MIA@BAL","BAL","MIA","","","",""
"17107-11460","TE","Rob","","Gronkowski","10.5625","8","7300","LA@NE","NE","LA","O","Back","",""
"17107-21948","QB","Ryan","","Tannehill","15.760000055486506","11","7300","MIA@BAL","MIA","BAL","","","",""
"17107-14225","QB","Andy","","Dalton","17.365454933860086","11","7200","PHI@CIN","CIN","PHI","","","",""
"17107-34308","QB","Blake","","Bortles","19.12363641912287","11","7100","DEN@JAC","JAC","DEN","","","",""
"17107-11432","WR","Demaryius","","Thomas","11.98181845925071","11","7100","DEN@JAC","DEN","JAC","","","",""
"17107-28434","QB","Trevor","","Siemian","15.263999938964844","10","7100","DEN@JAC","DEN","JAC","O","Foot","",""
"17107-8005","QB","Alex","","Smith","14.547999572753906","10","7000","KC@ATL","KC","ATL","","","",""
"17107-14211","RB","Mark","","Ingram","13.809090354225852","11","7000","DET@NO","NO","DET","Q","Toe","",""
"17107-28643","WR","Allen","","Robinson","11.236363497647373","11","7000","DEN@JAC","JAC","DEN","","","",""
"17107-6535","WR","Kenny","","Britt","11.618182095614346","11","6900","LA@NE","LA","NE","","","",""
"17107-28573","WR","Michael","","Thomas","13.581817626953125","11","6900","DET@NO","NO","DET","","","",""
"17107-30447","RB","Todd","","Gurley","11.381817904385654","11","6800","LA@NE","LA","NE","","","",""
"17107-33557","TE","Tyler","","Eifert","10.740000152587891","5","6800","PHI@CIN","CIN","PHI","","","",""
"17107-29501","WR","Brandin","","Cooks","13.769999694824218","10","6800","DET@NO","NO","DET","","","",""
"17107-45889","WR","Davante","","Adams","13.87272782759233","11","6800","HOU@GB","GB","HOU","","","",""
"17107-70324","QB","Carson","","Wentz","13.983637029474432","11","6700","PHI@CIN","PHI","CIN","","","",""
"17107-16606","WR","DeAndre","","Hopkins","9.681818181818182","11","6700","HOU@GB","HOU","GB","","","",""
"17107-28473","RB","Carlos","","Hyde","13.766666836208767","9","6700","SF@CHI","SF","CHI","","","",""
"17107-11779","RB","LeGarrette","","Blount","14.818181818181818","11","6600","LA@NE","NE","LA","","","",""
"17107-7859","WR","Julian","","Edelman","9.709091186523438","11","6600","LA@NE","NE","LA","Q","Foot","",""
"17107-38435","QB","Jared","","Goff","12.010000228881836","2","6500","LA@NE","LA","NE","","","",""
"17107-33465","RB","Theo","","Riddick","13.899999830457899","9","6500","DET@NO","DET","NO","Q","Ankle","",""
"17107-6898","QB","Jay","","Cutler","10.351999664306641","5","6500","SF@CHI","CHI","SF","O","Shoulder","",""
"17107-44449","WR","Willie","","Snead","11.480000305175782","10","6500","DET@NO","NO","DET","","","",""
"17107-6607","WR","Mike","","Wallace","12.163636641068893","11","6500","MIA@BAL","BAL","MIA","","","",""
"17107-33260","WR","DeVante","","Parker","8.740000152587891","10","6500","MIA@BAL","MIA","BAL","Q","Back","",""
"17107-39580","RB","Devontae","","Booker","7.145454406738281","11","6400","DEN@JAC","DEN","JAC","","","",""
"17107-31394","WR","Jarvis","","Landry","10.827272588556463","11","6400","MIA@BAL","MIA","BAL","","","",""
"17107-11505","WR","Emmanuel","","Sanders","12.5","11","6400","DEN@JAC","DEN","JAC","","","",""
"17107-6828","RB","Tim","","Hightower","7.118182095614347","11","6300","DET@NO","NO","DET","","","",""
"17107-33076","TE","Travis","","Kelce","10.5","11","6300","KC@ATL","KC","ATL","","","",""
"17107-14257","WR","Randall","","Cobb","10.40999984741211","10","6300","HOU@GB","GB","HOU","","","",""
"17107-21994","QB","Brock","","Osweiler","12.943636807528408","11","6300","HOU@GB","HOU","GB","","","",""
"17107-6735","WR","Steve","","Smith Sr.","10.844444274902344","9","6100","MIA@BAL","BAL","MIA","","","",""
"17107-22027","QB","Nick","","Foles","14","2","6000","KC@ATL","KC","ATL","","","",""
"17107-6679","QB","Matt","","Schaub","-0.20000000298023224","1","6000","KC@ATL","ATL","KC","","","",""
"17107-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","LA@NE","NE","LA","IR","Thumb","",""
"17107-11864","RB","Chris","","Ivory","6.966666751437717","9","6000","DEN@JAC","JAC","DEN","O","Hamstring","",""
"17107-33463","QB","Paxton","","Lynch","12.0600004196167","2","6000","DEN@JAC","DEN","JAC","","","",""
"17107-7872","QB","Brian","","Hoyer","13.266666412353516","6","6000","SF@CHI","CHI","SF","IR","Forearm","",""
"17107-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","LA@NE","NE","LA","","","",""
"17107-14194","QB","Blaine","","Gabbert","15.539999389648438","5","6000","SF@CHI","SF","CHI","","","",""
"17107-29605","QB","Matt","","Barkley","11.890000343322754","2","6000","SF@CHI","CHI","SF","","","",""
"17107-14267","QB","Ryan","","Mallett","0.029999999329447746","2","6000","MIA@BAL","BAL","MIA","","","",""
"17107-21959","QB","Brandon","","Weeden","11.403333028157553","6","6000","HOU@GB","HOU","GB","","","",""
"17107-22994","QB","Case","","Keenum","13.428888956705729","9","6000","LA@NE","LA","NE","","","",""
"17107-11485","WR","Golden","","Tate","9.272727272727273","11","5900","DET@NO","DET","NO","","","",""
"17107-31047","QB","AJ","","McCarron","8.17999976021903","7","5900","PHI@CIN","CIN","PHI","","","",""
"17107-54607","RB","Terrance","","West","9.309091047807174","11","5900","MIA@BAL","BAL","MIA","","","",""
"17107-7283","WR","Jeremy","","Maclin","8.0625","8","5800","KC@ATL","KC","ATL","O","Groin","",""
"17107-31397","RB","Jeremy","","Hill","10.9272724498402","11","5800","PHI@CIN","CIN","PHI","","","",""
"17107-11609","RB","James","","Starks","7","7","5800","HOU@GB","GB","HOU","","","",""
"17107-53681","WR","Tyreek","","Hill","10.372727134011008","11","5800","KC@ATL","KC","ATL","","","",""
"17107-22018","WR","Mohamed","","Sanu","8.318181818181818","11","5700","KC@ATL","ATL","KC","","","",""
"17107-30837","WR","Jordan","","Matthews","10.4636362249201","11","5700","PHI@CIN","PHI","CIN","Q","Ankle","",""
"17107-25272","TE","Eric","","Ebron","9.337499618530273","8","5700","DET@NO","DET","NO","","","",""
"17107-54753","WR","Taylor","","Gabriel","10.425000190734863","8","5700","KC@ATL","ATL","KC","","","",""
"17107-42028","WR","Will","","Fuller","8.655555725097656","9","5600","HOU@GB","HOU","GB","","","",""
"17107-62538","WR","Cameron","","Meredith","7.888888888888889","9","5600","SF@CHI","CHI","SF","","","",""
"17107-22103","WR","Marvin","","Jones Jr.","10.754545731977982","11","5600","DET@NO","DET","NO","Q","Thigh","",""
"17107-27776","RB","Tevin","","Coleman","13.774999618530273","8","5600","KC@ATL","ATL","KC","","","",""
"17107-30428","WR","Malcolm","","Mitchell","6.1875","8","5600","LA@NE","NE","LA","","","",""
