"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17031-6894","QB","Aaron","","Rodgers","24.333999633789062","10","8900","GB@PHI","GB","PHI","","","",""
"17031-6893","WR","Jordy","","Nelson","14.480000305175782","10","8000","GB@PHI","GB","PHI","","","",""
"17031-45889","WR","Davante","","Adams","12.680000305175781","10","7600","GB@PHI","GB","PHI","","","",""
"17031-11432","WR","Demaryius","","Thomas","12.330000305175782","10","7500","KC@DEN","DEN","KC","","","",""
"17031-28434","QB","Trevor","","Siemian","13.735555860731337","9","7000","KC@DEN","DEN","KC","","","",""
"17031-31459","RB","Spencer","","Ware","13.455555386013454","9","7000","KC@DEN","KC","DEN","","","",""
"17031-70324","QB","Carson","","Wentz","13.536000061035157","10","6800","GB@PHI","PHI","GB","","","",""
"17031-14257","WR","Randall","","Cobb","10.777777777777779","9","6600","GB@PHI","GB","PHI","","","",""
"17031-11505","WR","Emmanuel","","Sanders","11.180000305175781","10","6600","KC@DEN","DEN","KC","","","",""
"17031-8005","QB","Alex","","Smith","14.497777303059896","9","6500","KC@DEN","KC","DEN","","","",""
"17031-39580","RB","Devontae","","Booker","6.8","10","6300","KC@DEN","DEN","KC","","","",""
"17031-33076","TE","Travis","","Kelce","10.140000152587891","10","6300","KC@DEN","KC","DEN","","","",""
"17031-7283","WR","Jeremy","","Maclin","8.0625","8","6200","KC@DEN","KC","DEN","O","Groin","",""
"17031-22027","QB","Nick","","Foles","14","2","6000","KC@DEN","KC","DEN","","","",""
"17031-53681","WR","Tyreek","","Hill","8.609999847412109","10","6000","KC@DEN","KC","DEN","","","",""
"17031-33463","QB","Paxton","","Lynch","12.0600004196167","2","6000","KC@DEN","DEN","KC","","","",""
"17031-38509","RB","Wendell","","Smallwood","4.6999999152289496","9","5700","GB@PHI","PHI","GB","","","",""
"17031-30837","WR","Jordan","","Matthews","10.84000015258789","10","5600","GB@PHI","PHI","GB","","","",""
"17031-22848","QB","Austin","","Davis","7.393333435058594","3","5500","KC@DEN","DEN","KC","","","",""
"17031-11425","RB","Ryan","","Mathews","10.359999847412109","10","5400","GB@PHI","PHI","GB","O","Knee","",""
"17031-7972","RB","Darren","","Sproles","8.530000305175781","10","5400","GB@PHI","PHI","GB","","","",""
"17031-29357","RB","Kenjon","","Barner","3.137500047683716","8","5300","GB@PHI","PHI","GB","","","",""
"17031-11609","RB","James","","Starks","6.616666793823242","6","5300","GB@PHI","GB","PHI","","","",""
"17031-54687","RB","Charcandrick","","West","4.666666666666667","9","5200","KC@DEN","KC","DEN","","","",""
"17031-30788","QB","Tyler","","Bray","0","0","5000","KC@DEN","KC","DEN","","","",""
"17031-29780","TE","Zach","","Ertz","7.150000095367432","8","5000","GB@PHI","PHI","GB","","","",""
"17031-29915","QB","Brett","","Hundley","-0.1599999964237213","2","5000","GB@PHI","GB","PHI","","","",""
"17031-8803","QB","Chase","","Daniel","-0.019999999552965164","2","5000","GB@PHI","PHI","GB","","","",""
"17031-45683","RB","Kapri","","Bibbs","3.383333206176758","6","5000","KC@DEN","DEN","KC","","","",""
"17031-29734","RB","Ty","","Montgomery","5.611111111111111","9","4900","GB@PHI","GB","PHI","","","",""
"17031-52560","WR","Geronimo","","Allison","2.825000047683716","4","4900","GB@PHI","GB","PHI","","","",""
"17031-12531","D","Denver","","Broncos","10.8","10","4900","KC@DEN","DEN","KC","","","",""
"17031-33714","K","Cairo","","Santos","9.8","10","4800","KC@DEN","KC","DEN","","","",""
"17031-6897","K","Mason","","Crosby","8.1","10","4800","GB@PHI","GB","PHI","","","",""
"17031-32418","RB","Christine","","Michael","11.833333333333334","9","4700","GB@PHI","GB","PHI","","","",""
"17031-30403","WR","Chris","","Conley","5.090000152587891","10","4700","KC@DEN","KC","DEN","","","",""
"17031-29683","WR","Nelson","","Agholor","4.840000152587891","10","4700","GB@PHI","PHI","GB","","","",""
"17031-26247","K","Brandon","","McManus","9.4","10","4600","KC@DEN","DEN","KC","","","",""
"17031-41370","WR","Trevor","","Davis","0.987500011920929","8","4600","GB@PHI","GB","PHI","","","",""
"17031-30261","K","Caleb","","Sturgis","9.7","10","4600","GB@PHI","PHI","GB","","","",""
"17031-7761","TE","Jared","","Cook","6.449999809265137","4","4600","GB@PHI","GB","PHI","","","",""
"17031-6742","TE","Brent","","Celek","2.366666634877523","6","4600","GB@PHI","PHI","GB","","","",""
"17031-48344","WR","Albert","","Wilson","5.125","8","4600","KC@DEN","KC","DEN","","","",""
"17031-27134","WR","Dorial","","Green-Beckham","5.3666665818956165","9","4600","GB@PHI","PHI","GB","","","",""
"17031-29314","TE","Richard","","Rodgers","4.1999999152289496","9","4500","GB@PHI","GB","PHI","","","",""
"17031-28933","WR","Jared","","Abbrederis","0.6499999761581421","2","4500","GB@PHI","GB","PHI","","","",""
"17031-27273","RB","Andy","","Janovich","2.633333365122477","6","4500","KC@DEN","DEN","KC","","","",""
"17031-39305","TE","A.J.","","Derby","1.600000023841858","2","4500","KC@DEN","DEN","KC","","","",""
"17031-19342","TE","Demetrius","","Harris","1.4444444444444444","9","4500","KC@DEN","KC","DEN","","","",""
"17031-27918","TE","Henry","","Krieger-Coble","0","0","4500","KC@DEN","DEN","KC","","","",""
"17031-29327","WR","Bralon","","Addison","0","0","4500","KC@DEN","DEN","KC","","","",""
