"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17026-62497","RB","David","","Johnson","23.08000030517578","10","9500","ARI@ATL","ARI","ATL","","","",""
"17026-6498","QB","Tom","","Brady","24.316665649414062","6","9100","NE@NYJ","NE","NYJ","Q","Knee","",""
"17026-31360","WR","Odell","","Beckham Jr.","14.539999389648438","10","9000","NYG@CLE","NYG","CLE","","","",""
"17026-6616","QB","Matt","","Ryan","22.777999877929688","10","8700","ARI@ATL","ATL","ARI","","","",""
"17026-14190","WR","Julio","","Jones","17.1","10","8700","ARI@ATL","ATL","ARI","","","",""
"17026-6504","QB","Drew","","Brees","23.08800048828125","10","8600","LA@NO","NO","LA","","","",""
"17026-11460","TE","Rob","","Gronkowski","12.071428571428571","7","8500","NE@NYJ","NE","NYJ","Q","Chest","",""
"17026-46882","RB","Jay","","Ajayi","14.366667005750868","9","8400","SF@MIA","MIA","SF","","","",""
"17026-29358","QB","Marcus","","Mariota","20.47999988902699","11","8300","TEN@CHI","TEN","CHI","","","",""
"17026-14254","RB","DeMarco","","Murray","19.563636086203836","11","8300","TEN@CHI","TEN","CHI","","","",""
"17026-28900","RB","Melvin","","Gordon","19.689999389648438","10","8200","SD@HOU","SD","HOU","","","",""
"17026-6779","RB","LeSean","","McCoy","16.333333333333332","9","8100","JAC@BUF","BUF","JAC","Q","Thumb","",""
"17026-7968","QB","Philip","","Rivers","18.003999328613283","10","8000","SD@HOU","SD","HOU","","","",""
"17026-14187","WR","A.J.","","Green","15.339999389648437","10","8000","CIN@BAL","CIN","BAL","O","Hamstring","",""
"17026-32384","WR","Mike","","Evans","17.410000610351563","10","7900","SEA@TB","TB","SEA","","","",""
"17026-45859","QB","Derek","","Carr","19.61999969482422","10","7900","CAR@OAK","OAK","CAR","","","",""
"17026-31001","WR","Amari","","Cooper","14.3","10","7800","CAR@OAK","OAK","CAR","","","",""
"17026-6826","QB","Eli","","Manning","16.19199981689453","10","7800","NYG@CLE","NYG","CLE","","","",""
"17026-14185","QB","Cam","","Newton","19.693333943684895","9","7800","CAR@OAK","CAR","OAK","","","",""
"17026-14377","QB","Tyrod","","Taylor","17.95","10","7700","JAC@BUF","BUF","JAC","","","",""
"17026-11432","WR","Demaryius","","Thomas","12.330000305175782","10","7500","KC@DEN","DEN","KC","","","",""
"17026-22015","QB","Russell","","Wilson","17.086000061035158","10","7500","SEA@TB","SEA","TB","","","",""
"17026-30447","RB","Todd","","Gurley","11.430000305175781","10","7500","LA@NO","LA","NO","","","",""
"17026-14225","QB","Andy","","Dalton","17.83000030517578","10","7400","CIN@BAL","CIN","BAL","","","",""
"17026-28643","WR","Allen","","Robinson","12.019999694824218","10","7400","JAC@BUF","JAC","BUF","","","",""
"17026-24920","RB","Devonta","","Freeman","13.760000610351563","10","7300","ARI@ATL","ATL","ARI","","","",""
"17026-6714","QB","Joe","","Flacco","15.46199951171875","10","7300","CIN@BAL","BAL","CIN","","","",""
"17026-29501","WR","Brandin","","Cooks","13.769999694824218","10","7300","LA@NO","NO","LA","","","",""
"17026-24849","QB","Jameis","","Winston","18.9","10","7200","SEA@TB","TB","SEA","","","",""
"17026-6883","WR","Larry","","Fitzgerald","14.239999389648437","10","7200","ARI@ATL","ARI","ATL","","","",""
"17026-14231","QB","Colin","","Kaepernick","19.952000427246094","5","7200","SF@MIA","SF","MIA","","","",""
"17026-6535","WR","Kenny","","Britt","11.40999984741211","10","7100","LA@NO","LA","NO","","","",""
"17026-21948","QB","Ryan","","Tannehill","14.655999755859375","10","7100","SF@MIA","MIA","SF","","","",""
"17026-34308","QB","Blake","","Bortles","18.922000122070312","10","7100","JAC@BUF","JAC","BUF","","","",""
"17026-22037","RB","Lamar","","Miller","13.169999694824218","10","7100","SD@HOU","HOU","SD","","","",""
"17026-6748","QB","Carson","","Palmer","16.13111029730903","9","7100","ARI@ATL","ARI","ATL","","","",""
"17026-6759","WR","Brandon","","Marshall","9.359999847412109","10","7100","NE@NYJ","NYJ","NE","","","",""
"17026-16606","WR","DeAndre","","Hopkins","9.7","10","7000","SD@HOU","HOU","SD","","","",""
"17026-24929","WR","Kelvin","","Benjamin","11.330000305175782","10","7000","CAR@OAK","CAR","OAK","","","",""
"17026-28095","RB","Thomas","","Rawls","6.633333206176758","3","7000","SEA@TB","SEA","TB","","","",""
"17026-31394","WR","Jarvis","","Landry","11.240000152587891","10","7000","SF@MIA","MIA","SF","Q","Shoulder","",""
"17026-31459","RB","Spencer","","Ware","13.455555386013454","9","7000","KC@DEN","KC","DEN","","","",""
"17026-6914","TE","Greg","","Olsen","12.15","10","7000","CAR@OAK","CAR","OAK","","","",""
"17026-28434","QB","Trevor","","Siemian","13.735555860731337","9","7000","KC@DEN","DEN","KC","","","",""
"17026-11512","TE","Jimmy","","Graham","10.84000015258789","10","6900","SEA@TB","SEA","TB","","","",""
"17026-6733","RB","Jonathan","","Stewart","10.071428571428571","7","6900","CAR@OAK","CAR","OAK","","","",""
"17026-15212","WR","Terrelle","","Pryor Sr.","12.37636358087713","11","6900","NYG@CLE","CLE","NYG","","","",""
"17026-42142","RB","Jordan","","Howard","12.622222052680122","9","6800","TEN@CHI","CHI","TEN","","","",""
