"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16863-62497","RB","David","","Johnson","21.837499618530273","8","9400","SF@ARI","ARI","SF","","","",""
"16863-31360","WR","Odell","","Beckham Jr.","14.699999809265137","8","9000","CIN@NYG","NYG","CIN","","","",""
"16863-6894","QB","Aaron","","Rodgers","23.0575008392334","8","9000","GB@TEN","GB","TEN","","","",""
"16863-38791","RB","Ezekiel","","Elliott","19.075000762939453","8","8900","DAL@PIT","DAL","PIT","","","",""
"16863-14190","WR","Julio","","Jones","16.944444444444443","9","8800","ATL@PHI","ATL","PHI","","","",""
"16863-14187","WR","A.J.","","Green","17.137500762939453","8","8700","CIN@NYG","CIN","NYG","","","",""
"16863-6616","QB","Matt","","Ryan","23.788889567057293","9","8600","ATL@PHI","ATL","PHI","","","",""
"16863-11612","WR","Antonio","","Brown","16.637500762939453","8","8600","DAL@PIT","PIT","DAL","","","",""
"16863-32384","WR","Mike","","Evans","19","8","8500","CHI@TB","TB","CHI","","","",""
"16863-6498","QB","Tom","","Brady","26.290000915527344","4","8300","SEA@NE","NE","SEA","","","",""
"16863-28900","RB","Melvin","","Gordon","20.13333299424913","9","8300","MIA@SD","SD","MIA","","","",""
"16863-6504","QB","Drew","","Brees","23.9325008392334","8","8200","DEN@NO","NO","DEN","","","",""
"16863-28181","RB","Le'Veon","","Bell","17.18000030517578","5","8100","DAL@PIT","PIT","DAL","","","",""
"16863-7968","QB","Philip","","Rivers","17.666666666666668","9","8100","MIA@SD","SD","MIA","","","",""
"16863-11460","TE","Rob","","Gronkowski","12.90000025431315","6","8000","SEA@NE","NE","SEA","","","",""
"16863-6748","QB","Carson","","Palmer","16.217142377580917","7","7900","SF@ARI","ARI","SF","","","",""
"16863-14185","QB","Cam","","Newton","20.002857753208705","7","7800","KC@CAR","CAR","KC","","","",""
"16863-46882","RB","Jay","","Ajayi","15.842857360839844","7","7800","MIA@SD","MIA","SD","","","",""
"16863-39580","RB","Devontae","","Booker","6.466666751437717","9","7800","DEN@NO","DEN","NO","","","",""
"16863-24849","QB","Jameis","","Winston","19.010000228881836","8","7800","CHI@TB","TB","CHI","","","",""
"16863-6589","QB","Ben","","Roethlisberger","21.008571079799108","7","7700","DAL@PIT","PIT","DAL","","","",""
"16863-31716","QB","Dak","","Prescott","19.912500381469727","8","7700","DAL@PIT","DAL","PIT","","","",""
"16863-6893","WR","Jordy","","Nelson","13.737500190734863","8","7700","GB@TEN","GB","TEN","","","",""
"16863-6826","QB","Eli","","Manning","15.592499732971191","8","7600","CIN@NYG","NYG","CIN","","","",""
"16863-14225","QB","Andy","","Dalton","18.545000076293945","8","7500","CIN@NYG","CIN","NYG","","","",""
"16863-11432","WR","Demaryius","","Thomas","11.622222052680122","9","7500","DEN@NO","DEN","NO","","","",""
"16863-11435","WR","Dez","","Bryant","9.640000152587891","5","7500","DAL@PIT","DAL","PIT","","","",""
"16863-6714","QB","Joe","","Flacco","14.390000343322754","8","7500","CLE@BAL","BAL","CLE","","","",""
"16863-22037","RB","Lamar","","Miller","13.137499809265137","8","7500","HOU@JAC","HOU","JAC","Q","Shoulder","",""
"16863-22015","QB","Russell","","Wilson","14.944999694824219","8","7400","SEA@NE","SEA","NE","","","",""
"16863-16606","WR","DeAndre","","Hopkins","10.175000190734863","8","7400","HOU@JAC","HOU","JAC","","","",""
"16863-14254","RB","DeMarco","","Murray","19.200000339084202","9","7400","GB@TEN","TEN","GB","Q","Toe","",""
"16863-29358","QB","Marcus","","Mariota","19.44222174750434","9","7400","GB@TEN","TEN","GB","","","",""
"16863-14231","QB","Colin","","Kaepernick","18.806666056315105","3","7300","SF@ARI","SF","ARI","","","",""
"16863-29501","WR","Brandin","","Cooks","14","8","7300","DEN@NO","NO","DEN","","","",""
"16863-31459","RB","Spencer","","Ware","14.700000217982701","7","7300","KC@CAR","KC","CAR","","","",""
"16863-34308","QB","Blake","","Bortles","19.517499923706055","8","7300","HOU@JAC","JAC","HOU","","","",""
"16863-7659","QB","Ryan","","Fitzpatrick","12.168888515896267","9","7200","LA@NYJ","NYJ","LA","Q","Knee","",""
"16863-21980","WR","Alshon","","Jeffery","10.287500381469727","8","7200","CHI@TB","CHI","TB","","","",""
"16863-21948","QB","Ryan","","Tannehill","13.947500228881836","8","7200","MIA@SD","MIA","SD","","","",""
"16863-45889","WR","Davante","","Adams","12.8125","8","7200","GB@TEN","GB","TEN","","","",""
"16863-28434","QB","Trevor","","Siemian","13.350000381469727","8","7200","DEN@NO","DEN","NO","","","",""
"16863-6914","TE","Greg","","Olsen","13.725000381469727","8","7200","KC@CAR","CAR","KC","","","",""
