"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16792-6894","QB","Aaron","","Rodgers","22.468571254185267","7","9100","IND@GB","GB","IND","","","",""
"16792-6504","QB","Drew","","Brees","23.820000784737722","7","8600","NO@SF","NO","SF","","","",""
"16792-7968","QB","Philip","","Rivers","17.537500381469727","8","8300","TEN@SD","SD","TEN","","","",""
"16792-6893","WR","Jordy","","Nelson","13","7","8200","IND@GB","GB","IND","","","",""
"16792-14185","QB","Cam","","Newton","20.90333302815755","6","8100","CAR@LA","CAR","LA","","","",""
"16792-14254","RB","DeMarco","","Murray","19.412500381469727","8","8100","TEN@SD","TEN","SD","","","",""
"16792-21939","QB","Andrew","","Luck","21.657499313354492","8","8000","IND@GB","IND","GB","","","",""
"16792-22015","QB","Russell","","Wilson","13.325714111328125","7","7800","BUF@SEA","SEA","BUF","","","",""
"16792-28900","RB","Melvin","","Gordon","18.387500762939453","8","7800","TEN@SD","SD","TEN","","","",""
"16792-31001","WR","Amari","","Cooper","15.087499618530273","8","7700","DEN@OAK","OAK","DEN","Q","Back","",""
"16792-45859","QB","Derek","","Carr","20.74250030517578","8","7700","DEN@OAK","OAK","DEN","","","",""
"16792-29501","WR","Brandin","","Cooks","14.700000217982701","7","7600","NO@SF","NO","SF","","","",""
"16792-29358","QB","Marcus","","Mariota","18.38249969482422","8","7600","TEN@SD","TEN","SD","","","",""
"16792-30447","RB","Todd","","Gurley","11.942856924874443","7","7600","CAR@LA","LA","CAR","","","",""
"16792-22031","WR","T.Y.","","Hilton","14.737500190734863","8","7600","IND@GB","IND","GB","","","",""
"16792-6914","TE","Greg","","Olsen","13.728571210588727","7","7500","CAR@LA","CAR","LA","","","",""
"16792-32418","RB","Christine","","Michael","13.900000435965401","7","7500","BUF@SEA","SEA","BUF","","","",""
"16792-11432","WR","Demaryius","","Thomas","12.0625","8","7400","DEN@OAK","DEN","OAK","","","",""
"16792-24929","WR","Kelvin","","Benjamin","12.314285278320312","7","7400","CAR@LA","CAR","LA","","","",""
"16792-6779","RB","LeSean","","McCoy","17.357142857142858","7","7400","BUF@SEA","BUF","SEA","Q","Hamstring","",""
"16792-14231","QB","Colin","","Kaepernick","16.600000381469727","2","7200","NO@SF","SF","NO","","","",""
"16792-28434","QB","Trevor","","Siemian","12.925714765276227","7","7200","DEN@OAK","DEN","OAK","","","",""
"16792-14377","QB","Tyrod","","Taylor","17.887500762939453","8","7200","BUF@SEA","BUF","SEA","","","",""
"16792-45889","WR","Davante","","Adams","12.914285932268415","7","7100","IND@GB","GB","IND","","","",""
"16792-39580","RB","Devontae","","Booker","6.837500095367432","8","7000","DEN@OAK","DEN","OAK","","","",""
"16792-9392","WR","Michael","","Crabtree","14.800000190734863","8","7000","DEN@OAK","OAK","DEN","","","",""
"16792-14626","WR","Doug","","Baldwin","11.242856706891741","7","7000","BUF@SEA","SEA","BUF","","","",""
"16792-28473","RB","Carlos","","Hyde","15.333333333333334","6","7000","NO@SF","SF","NO","Q","Shoulder","",""
"16792-14257","WR","Randall","","Cobb","12.266666412353516","6","6900","IND@GB","GB","IND","Q","Hamstring","",""
"16792-11505","WR","Emmanuel","","Sanders","12.087499618530273","8","6800","DEN@OAK","DEN","OAK","","","",""
"16792-11512","TE","Jimmy","","Graham","9.02857153756278","7","6700","BUF@SEA","SEA","BUF","","","",""
"16792-14211","RB","Mark","","Ingram","10.900000435965401","7","6700","NO@SF","NO","SF","","","",""
"16792-44449","WR","Willie","","Snead","12.15000025431315","6","6500","NO@SF","NO","SF","","","",""
"16792-29249","RB","C.J.","","Anderson","13.5","7","6500","DEN@OAK","DEN","OAK","IR","Knee","",""
"16792-29734","RB","Ty","","Montgomery","5.166666666666667","6","6500","IND@GB","GB","IND","","","",""
