"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16865-6894","QB","Aaron","","Rodgers","23.0575008392334","8","9000","GB@TEN","GB","TEN","","","",""
"16865-14190","WR","Julio","","Jones","16.944444444444443","9","8800","ATL@PHI","ATL","PHI","","","",""
"16865-6616","QB","Matt","","Ryan","23.788889567057293","9","8600","ATL@PHI","ATL","PHI","","","",""
"16865-32384","WR","Mike","","Evans","19","8","8500","CHI@TB","TB","CHI","","","",""
"16865-6504","QB","Drew","","Brees","23.9325008392334","8","8200","DEN@NO","NO","DEN","","","",""
"16865-39580","RB","Devontae","","Booker","6.466666751437717","9","7800","DEN@NO","DEN","NO","","","",""
"16865-14185","QB","Cam","","Newton","20.002857753208705","7","7800","KC@CAR","CAR","KC","","","",""
"16865-24849","QB","Jameis","","Winston","19.010000228881836","8","7800","CHI@TB","TB","CHI","","","",""
"16865-6893","WR","Jordy","","Nelson","13.737500190734863","8","7700","GB@TEN","GB","TEN","","","",""
"16865-11432","WR","Demaryius","","Thomas","11.622222052680122","9","7500","DEN@NO","DEN","NO","","","",""
"16865-22037","RB","Lamar","","Miller","13.137499809265137","8","7500","HOU@JAC","HOU","JAC","Q","Shoulder","",""
"16865-16606","WR","DeAndre","","Hopkins","10.175000190734863","8","7400","HOU@JAC","HOU","JAC","","","",""
"16865-14254","RB","DeMarco","","Murray","19.200000339084202","9","7400","GB@TEN","TEN","GB","Q","Toe","",""
"16865-29358","QB","Marcus","","Mariota","19.44222174750434","9","7400","GB@TEN","TEN","GB","","","",""
"16865-29501","WR","Brandin","","Cooks","14","8","7300","DEN@NO","NO","DEN","","","",""
"16865-34308","QB","Blake","","Bortles","19.517499923706055","8","7300","HOU@JAC","JAC","HOU","","","",""
"16865-31459","RB","Spencer","","Ware","14.700000217982701","7","7300","KC@CAR","KC","CAR","","","",""
"16865-7659","QB","Ryan","","Fitzpatrick","12.168888515896267","9","7200","LA@NYJ","NYJ","LA","Q","Knee","",""
"16865-21980","WR","Alshon","","Jeffery","10.287500381469727","8","7200","CHI@TB","CHI","TB","","","",""
"16865-6914","TE","Greg","","Olsen","13.725000381469727","8","7200","KC@CAR","CAR","KC","","","",""
"16865-45889","WR","Davante","","Adams","12.8125","8","7200","GB@TEN","GB","TEN","","","",""
"16865-28434","QB","Trevor","","Siemian","13.350000381469727","8","7200","DEN@NO","DEN","NO","","","",""
"16865-6899","RB","Matt","","Forte","15.188888549804688","9","7100","LA@NYJ","NYJ","LA","","","",""
"16865-22038","QB","Kirk","","Cousins","18.44499969482422","8","7100","MIN@WAS","WAS","MIN","","","",""
"16865-6759","WR","Brandon","","Marshall","10.01111094156901","9","7100","LA@NYJ","NYJ","LA","Q","Foot","",""
"16865-11414","QB","Sam","","Bradford","14.342857360839844","7","7000","MIN@WAS","MIN","WAS","","","",""
"16865-6898","QB","Jay","","Cutler","10.133333206176758","3","7000","CHI@TB","CHI","TB","","","",""
"16865-30447","RB","Todd","","Gurley","11.625","8","7000","LA@NYJ","LA","NYJ","Q","Thigh","",""
"16865-24920","RB","Devonta","","Freeman","14.222222222222221","9","7000","ATL@PHI","ATL","PHI","","","",""
"16865-24929","WR","Kelvin","","Benjamin","12.037500381469727","8","7000","KC@CAR","CAR","KC","","","",""
"16865-28643","WR","Allen","","Robinson","10.962499618530273","8","7000","HOU@JAC","JAC","HOU","","","",""
"16865-30298","TE","Jordan","","Reed","13.416666666666666","6","7000","MIN@WAS","WAS","MIN","","","",""
"16865-21994","QB","Brock","","Osweiler","12.307499885559082","8","6900","HOU@JAC","HOU","JAC","","","",""
"16865-11505","WR","Emmanuel","","Sanders","11.544444613986546","9","6900","DEN@NO","DEN","NO","","","",""
"16865-42142","RB","Jordan","","Howard","13.599999564034599","7","6900","CHI@TB","CHI","TB","","","",""
"16865-70324","QB","Carson","","Wentz","13.774999618530273","8","6800","ATL@PHI","PHI","ATL","","","",""
"16865-6733","RB","Jonathan","","Stewart","11.240000152587891","5","6800","KC@CAR","CAR","KC","","","",""
"16865-8005","QB","Alex","","Smith","14.374286106654576","7","6700","KC@CAR","KC","CAR","","","",""
