"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16868-62497","RB","David","","Johnson","21.837499618530273","8","9400","SF@ARI","ARI","SF","","","",""
"16868-31360","WR","Odell","","Beckham Jr.","14.699999809265137","8","9000","CIN@NYG","NYG","CIN","","","",""
"16868-6894","QB","Aaron","","Rodgers","23.0575008392334","8","9000","GB@TEN","GB","TEN","","","",""
"16868-38791","RB","Ezekiel","","Elliott","19.075000762939453","8","8900","DAL@PIT","DAL","PIT","","","",""
"16868-14190","WR","Julio","","Jones","16.944444444444443","9","8800","ATL@PHI","ATL","PHI","","","",""
"16868-14187","WR","A.J.","","Green","17.137500762939453","8","8700","CIN@NYG","CIN","NYG","","","",""
"16868-6616","QB","Matt","","Ryan","23.788889567057293","9","8600","ATL@PHI","ATL","PHI","","","",""
"16868-11612","WR","Antonio","","Brown","16.637500762939453","8","8600","DAL@PIT","PIT","DAL","","","",""
"16868-32384","WR","Mike","","Evans","19","8","8500","CHI@TB","TB","CHI","","","",""
"16868-6498","QB","Tom","","Brady","26.290000915527344","4","8300","SEA@NE","NE","SEA","","","",""
"16868-28900","RB","Melvin","","Gordon","20.13333299424913","9","8300","MIA@SD","SD","MIA","","","",""
"16868-6504","QB","Drew","","Brees","23.9325008392334","8","8200","DEN@NO","NO","DEN","","","",""
"16868-28181","RB","Le'Veon","","Bell","17.18000030517578","5","8100","DAL@PIT","PIT","DAL","","","",""
"16868-7968","QB","Philip","","Rivers","17.666666666666668","9","8100","MIA@SD","SD","MIA","","","",""
"16868-11460","TE","Rob","","Gronkowski","12.90000025431315","6","8000","SEA@NE","NE","SEA","","","",""
"16868-6748","QB","Carson","","Palmer","16.217142377580917","7","7900","SF@ARI","ARI","SF","","","",""
"16868-14185","QB","Cam","","Newton","20.002857753208705","7","7800","KC@CAR","CAR","KC","","","",""
"16868-46882","RB","Jay","","Ajayi","15.842857360839844","7","7800","MIA@SD","MIA","SD","","","",""
"16868-39580","RB","Devontae","","Booker","6.466666751437717","9","7800","DEN@NO","DEN","NO","","","",""
"16868-24849","QB","Jameis","","Winston","19.010000228881836","8","7800","CHI@TB","TB","CHI","","","",""
